Console / Outil,Raccourci Windows+R,Usage principal TSSR,Exemple concret TP/jury,Mémo à retenir,Erreur courante + solution
Utilisateurs et ordinateurs Active Directory,dsa.msc,"Gestion des unités d'organisation (OU), utilisateurs, groupes et ordinateurs.",Créer un nouvel utilisateur ou réinitialiser un mot de passe en cours de TP.,L'outil quotidien du technicien pour l'annuaire.,Ne pas voir les fonctionnalités avancées. Solution : Menu Affichage > Fonctionnalités avancées.
Gestion des stratégies de groupe,gpmc.msc,Configuration et déploiement des GPO sur le domaine ou les OU.,Appliquer une restriction de Bureau ou un script de montage de lecteur réseau.,Gère le domaine (Contrairement à gpedit).,GPO non appliquée. Solution : Vérifier le filtrage de sécurité ou forcer avec gpupdate /force.
Éditeur de stratégie de groupe locale,gpedit.msc,Configuration de la sécurité et restrictions sur un poste de travail isolé.,Sécuriser un poste hors domaine ou un serveur spécifique.,"Local uniquement, ne pas confondre avec GPMC.",Configuration ignorée par une GPO de domaine. Solution : Les GPO de domaine sont prioritaires sur le local.
Sites et services Active Directory,dssite.msc,"Gestion de la topologie réseau, de la réplication et des sites physiques.",Forcer la réplication entre deux contrôleurs de domaine sur des sites différents.,Représente la structure physique (sous-réseaux IP).,Latence de réplication. Solution : Vérifier les liens de sites et les coûts associés.
Domaines et approbations Active Directory,domain.msc,Gestion des relations d'approbation (trusts) et niveaux fonctionnels.,Élever le niveau fonctionnel de la forêt ou créer un lien avec un autre domaine.,Concerne la structure logique de la forêt.,Impossibilité de créer un trust. Solution : Vérifier la résolution DNS entre les deux domaines.
Gestionnaire DNS,dnsmgmt.msc,Administration des zones de recherche directe et inversée.,Créer un enregistrement A ou CNAME pour un nouveau serveur web interne.,Essentiel pour le fonctionnement d'Active Directory.,Résolution de nom échouée. Solution : Vérifier les redirecteurs et l'existence de la zone inversée.
Stratégie de sécurité locale,secpol.msc,"Configuration des paramètres de sécurité (mots de passe, verrouillage).",Définir une longueur minimale de mot de passe sur un serveur.,Sous-ensemble de gpedit focalisé sur la sécurité.,Options grisées. Solution : Le paramètre est probablement défini par une GPO de niveau supérieur.
Jeu de stratégie résultant,rsop.msc,Diagnostic et visualisation des GPO appliquées à un utilisateur/ordinateur.,Vérifier pourquoi une restriction GPO ne s'applique pas comme prévu.,Équivalent graphique de la commande gpresult.,Rapport incomplet. Solution : Préférer 'gpresult /r' en ligne de commande pour plus de détails.
Certificats (Ordinateur local),certlm.msc,Gestion des certificats numériques au niveau de la machine.,Importer un certificat SSL pour un serveur IIS.,Nécessaire pour les services AD CS (Certificats).,Certificat invisible pour l'utilisateur. Solution : Vérifier s'il est dans le magasin Personnel de l'ordinateur.
Certificats (Utilisateur actuel),certmgr.msc,Gestion des certificats personnels de l'utilisateur.,Vérifier la présence d'un certificat de signature d'e-mail.,Spécifique à la session utilisateur ouverte.,Certificat expiré. Solution : Renouveler via la console ou via auto-enrôlement GPO.
Gestionnaire DHCP,dhcpmgmt.msc,Configuration des étendues et baux d'adresses IP.,Créer une réservation IP pour une imprimante réseau.,Indispensable pour l'adressage automatique en réseau AD.,Serveur DHCP non autorisé. Solution : Clic droit sur le serveur > Autoriser dans l'AD.
Observateur d'événements,eventvwr.msc,"Analyse des logs système, sécurité et services AD.",Trouver la cause d'un échec de connexion ou d'un service qui ne démarre pas.,Le premier réflexe en cas de panne (Troubleshooting).,Trop d'informations. Solution : Utiliser les filtres (ID d'événement ou niveau Critique/Erreur).
Services,services.msc,"Gestion des services Windows (Démarrage, Arrêt, Redémarrage).",Redémarrer le service KDC ou Netlogon après une modification.,Permet de vérifier si les composants AD sont actifs.,Service qui s'arrête seul. Solution : Vérifier l'onglet 'Récupération' ou les dépendances.